,Name,Price,Rating,Link
58,"My First Mythology Tales (Illustrated) (Set of 6 Books) - Story Book for Kids - Ganesha, Krishna, Hanuman, Brahma, Maa Durga, Shiva - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",195,5.0 out of 5 stars,https://www.amazon.in/First-Mythology-Tales-Illustrated-Books/dp/9394668012/ref=sr_1_59?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-59
59,The Book Thief: TikTok made me buy it! The life-affirming international bestseller,256.,4.6 out of 5 stars,https://www.amazon.in/Book-Thief-10th-Anniversary-ebook/dp/B01B2DJKHC/ref=sr_1_60?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-60
60,Be Your Own Sunshine: Towards a Better Tomorrow | Collection of 4 Bestselling works by James Allen,96,4.3 out of 5 stars,https://www.amazon.in/Your-Own-Sunshine-James-Allen/dp/9387022854/ref=sr_1_61?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-61
61,Courage to be Disliked,300,5.0 out of 5 stars,https://www.amazon.in/Courage-to-be-Disliked/dp/B0BLLTWYJY/ref=sr_1_62?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-62
62,"Hadbe 35,000+ Jumbo Mega Police Bharti - THE SMART BOOK - 2022/ 10th Ed. - 100+ Videos, 200+ Test Ranks and 100+ Sarav Test Including",473,4.3 out of 5 stars,https://www.amazon.in/Hadbe-Jumbo-Mega-Police-Bharti/dp/B09RH238TF/ref=sr_1_63?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-63
63,Trading Chart and Candlestick Patterns Books,499,5.0 out of 5 stars,https://www.amazon.in/Trading-Chart-Candlestick-Patterns-Books/dp/B0BKFGX2RW/ref=sr_1_64?keywords=books&qid=1669650946&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-64
64,My First Shapes and Colours Sticker Book: Exciting Sticker Book With 100 Stickers,144,4.5 out of 5 stars,https://www.amazon.in/First-Shapes-Colours-Sticker-Book/dp/938814497X/ref=sr_1_65?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-65
65,Under the Ocean - Lift The Flap Book with Bright and Colourful Pictures- Early Learning Book for Children Age 3-6 Years,122,4.6 out of 5 stars,https://www.amazon.in/Under-Ocean-Colourful-Pictures-Learning/dp/819516322X/ref=sr_1_66?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-66
66,Word Search - Mind Teaser: Classic Word Puzzles For Everyone,99,4.5 out of 5 stars,https://www.amazon.in/Word-Search-Classic-Puzzles-Everyone/dp/9389717299/ref=sr_1_67?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-67
67,"What You Must Know About Money!: One Book, All the Finance Terms You Need to Know for Optimal Finances",0,,https://www.amazon.in/What-Must-Know-About-Money-ebook/dp/B0BMGVXT55/ref=sr_1_68?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-68
68,Police Bharti Guru Thokla,393,5.0 out of 5 stars,https://www.amazon.in/Police-Bharti-Thokla-Rajesh-Meshe/dp/B0BGLKYDM8/ref=sr_1_69?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-69
69,TT-POWER Magical Handwriting Reusable Magic Book for Kids (4 Books 2 Pen 2 Hand Grip 10 Refill) Self Deleting Practice Hand Writing With Pen Writing for kid age 3+ (SIZE- 19*13 cm),299,4.0 out of 5 stars,https://www.amazon.in/TT-POWER-Calligraphy-Practice-Deleting-Reusable/dp/B09ZDW7MPF/ref=sr_1_70?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-70
70,"Kitne Ghazi Aaye, Kitne Ghazi Gaye (Copies Signed by the Author)",606,,https://www.amazon.in/Kitne-Ghazi-Copies-Signed-Author/dp/0670097055/ref=sr_1_71?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-71
71,THE BOOK OF ICHIGO ICHIE,324,4.6 out of 5 stars,https://www.amazon.in/Book-Ichigo-Ichie-Making-Japanese/dp/1529401291/ref=sr_1_72?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-72
72,Jadu,218,4.5 out of 5 stars,https://www.amazon.in/Jadu-Rhonda-Byrne/dp/818322296X/ref=sr_1_73?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-73
73,Goshta Paishapanyachi,204,4.5 out of 5 stars,https://www.amazon.in/Goshta-Paishapanyachi-Prafulla-Wankhede/dp/9389834848/ref=sr_1_74?keywords=books&qid=1669650947&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-74
